company_id,year,cfo,cff,net_profit,reason
ABB,2015-03,-35.0,1902.0,229.0,Negative CFO funded by positive financing cash flow (Distress Signal)
ADANIENSOL,2015-03,-35.0,1902.0,-7.0,Negative CFO funded by positive financing cash flow (Distress Signal)
AXISBANK,2015-03,-15162.0,31045.0,7358.0,Negative CFO funded by positive financing cash flow (Distress Signal)
AXISBANK,2016-03,-34495.0,22495.0,8224.0,Negative CFO funded by positive financing cash flow (Distress Signal)
AXISBANK,2018-03,-38390.0,41342.0,276.0,Negative CFO funded by positive financing cash flow (Distress Signal)
AXISBANK,2024-03,-5555.0,22341.0,24861.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2013-03,-6922.0,4592.0,2214.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2014-03,-9807.0,6521.0,2191.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2015-03,-10731.0,6839.0,2409.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2016-03,-9795.0,11602.0,2775.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2017-03,-10922.0,12513.0,3450.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2018-03,-19580.0,19590.0,4176.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2019-03,-27076.0,34535.0,5374.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2020-03,-23369.0,34479.0,5994.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2022-03,-33670.0,32326.0,8314.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2023-03,-39480.0,51016.0,12210.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJAJFINSV,2024-03,-68674.0,82709.0,15595.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2015-03,-7064.0,6867.0,898.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2016-03,-9870.0,11656.0,1279.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2017-03,-10439.0,12513.0,1836.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2018-03,-20566.0,19503.0,2496.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2019-03,-29062.0,34449.0,3995.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2020-03,-24412.0,34167.0,5264.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2021-03,-807.0,1741.0,4420.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2022-03,-37090.0,32275.0,7028.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2023-03,-42112.0,50675.0,11508.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BAJFINANCE,2024-03,-72760.0,82415.0,14451.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BANKBARODA,2018-03,-59692.0,3413.0,-1836.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BANKBARODA,2019-03,-1449.0,4449.0,1166.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BANKBARODA,2024-03,-6274.0,5476.0,18869.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BHEL,2020-03,-2892.0,1622.0,-1468.0,Negative CFO funded by positive financing cash flow (Distress Signal)
