table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-09-21T21:34:41.543784,0.372
profitandloss,1276,1070,206,2026-09-21T21:34:41.989070,0.445
balancesheet,1312,1140,172,2026-09-21T21:34:42.307501,0.318
cashflow,1187,1056,131,2026-09-21T21:34:42.487870,0.18
analysis,20,4,16,2026-09-21T21:34:42.512405,0.025
documents,1585,1456,129,2026-09-21T21:34:42.658481,0.146
prosandcons,16,14,2,2026-09-21T21:34:42.682205,0.024
sectors,92,92,0,2026-09-21T21:34:42.714799,0.033
stock_prices,5520,5520,0,2026-09-21T21:34:43.382089,0.667
market_cap,552,552,0,2026-09-21T21:34:43.454483,0.072
peer_groups,56,56,0,2026-09-21T21:34:43.483101,0.029
financial_ratios (seed),1184,1041,143,2026-09-21T21:34:43.723048,0.24
