metric,count,mean,std,p10,p25,p50_median,p75,p90
return_on_equity_pct,91,123.9,637.14,8.37,11.67,16.72,26.01,48.28
roce_pct,90,162.86,696.39,3.47,7.94,13.78,27.17,114.08
net_profit_margin_pct,92,20.02,45.18,4.62,7.25,14.21,20.35,29.24
operating_profit_margin_pct,91,34.67,27.51,9.84,16.01,25.83,40.15,84.04
debt_to_equity,91,1.67,2.86,0.01,0.06,0.43,1.59,6.45
interest_coverage,91,126.13,485.94,1.61,3.18,11.36,58.09,192.29
free_cash_flow_cr,91,901.2,23254.52,-14556.0,-1315.0,1095.0,8447.0,20445.0
revenue_cagr_5yr,91,12.98,7.35,6.45,8.44,11.84,17.19,21.09
pat_cagr_5yr,84,21.21,21.52,4.36,9.86,16.43,23.78,39.28
composite_quality_score,92,47.56,13.94,28.35,38.38,49.7,57.5,63.5
