company_id,company_name,sector,metric,value,sector_median,flag,rationale
ABB,Abbott India Ltd,Industrials,P/E Ratio,75.58,47.155,Caution,"Trading at 75.6x P/E, >1.5x sector median of 47.2x (SIMULATED)"
BAJAJFINSV,Bajaj Finserv Ltd,Financials,P/E Ratio,15.07,34.24,Discount,"Trading at 15.1x P/E, <0.7x sector median of 34.2x (SIMULATED)"
BAJFINANCE,Bajaj Finance Ltd,Financials,P/E Ratio,69.2,34.24,Caution,"Trading at 69.2x P/E, >1.5x sector median of 34.2x (SIMULATED)"
BANKBARODA,Bank of Baroda,Financials,P/E Ratio,16.89,34.24,Discount,"Trading at 16.9x P/E, <0.7x sector median of 34.2x (SIMULATED)"
BEL,Bharat Electronics Ltd,Industrials,P/E Ratio,17.89,47.155,Discount,"Trading at 17.9x P/E, <0.7x sector median of 47.2x (SIMULATED)"
BHEL,Bharat Heavy Electricals Limited,Industrials,P/E Ratio,29.8,47.155,Discount,"Trading at 29.8x P/E, <0.7x sector median of 47.2x (SIMULATED)"
BOSCHLTD,Bosch Ltd,Consumer Discretionary,P/E Ratio,58.43,38.005,Caution,"Trading at 58.4x P/E, >1.5x sector median of 38.0x (SIMULATED)"
BPCL,Bharat Petroleum Corporation Ltd,Energy,P/E Ratio,68.15,44.915,Caution,"Trading at 68.2x P/E, >1.5x sector median of 44.9x (SIMULATED)"
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,P/E Ratio,16.79,34.24,Discount,"Trading at 16.8x P/E, <0.7x sector median of 34.2x (SIMULATED)"
COALINDIA,Coal India Ltd,Materials,P/E Ratio,34.27,55.62,Discount,"Trading at 34.3x P/E, <0.7x sector median of 55.6x (SIMULATED)"
DMART,Avenue Supermarts Ltd,Consumer Discretionary,P/E Ratio,72.53,38.005,Caution,"Trading at 72.5x P/E, >1.5x sector median of 38.0x (SIMULATED)"
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,P/E Ratio,11.73,47.06,Discount,"Trading at 11.7x P/E, <0.7x sector median of 47.1x (SIMULATED)"
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,P/E Ratio,15.62,38.005,Discount,"Trading at 15.6x P/E, <0.7x sector median of 38.0x (SIMULATED)"
GAIL,GAIL (India) Ltd,Energy,P/E Ratio,25.84,44.915,Discount,"Trading at 25.8x P/E, <0.7x sector median of 44.9x (SIMULATED)"
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,P/E Ratio,33.59,50.95,Discount,"Trading at 33.6x P/E, <0.7x sector median of 51.0x (SIMULATED)"
GRASIM,Grasim Industries Ltd,Industrials,P/E Ratio,79.35,47.155,Caution,"Trading at 79.3x P/E, >1.5x sector median of 47.2x (SIMULATED)"
